0,0,BOX 22 Matyja ,00.00.00
06.40.50,15.36.41,BOX 217 ,08.55.51
05.44.58,16.01.13,BOX 28 ,10.00.00
0,0,BOX 8 ,00.00.00
06.42.30,16.08.50,BOX 200 ,09.17.30
06.56.18,16.00.05,BOX 288 ,09.03.42
04.38.26,16.00.07,BOX 30 ,10.00.00
06.36.26,16.00.03,BOX 293 ,09.23.34
06.24.56,14.21.02,BOX 219 ,07.56.06
06.45.48,16.03.39,BOX 279 ,09.14.12
