BOX-18,116.38
BOX-191,203.18
BOX-215,200.58
BOX-216,0.0
BOX-217,93.11
BOX-219,164.3
BOX-220,126.6
BOX-225,85.27
BOX-227,40.43
BOX-229,52.39
BOX-231,92.39
BOX-232,0.0
BOX-233,205.22
BOX-235,136.47
BOX-238,78.24
BOX-239,33.57
BOX-241,96.58
BOX-244,160.16
BOX-247,332.4
BOX-249,113.31
BOX-251,128.9
BOX-253,127.12
BOX-254,83.26
BOX-255,143.6
BOX-257,97.24
BOX-258,61.27
BOX-260,185.47
BOX-263,184.0
BOX-264,159.10
BOX-266,100.10
BOX-267,183.22
BOX-269,206.44
BOX-271,93.23
BOX-273,201.41
BOX-277,200.58
BOX-278,203.19
BOX-279,123.43
BOX-283,133.14
BOX-285,193.12
BOX-286,127.16
BOX-287,0.0
BOX-288,106.37
BOX-289,205.25
BOX-290,99.26
BOX-292,220.25
BOX-293,156.36
BOX-295,130.0
BOX-297,68.53
BOX-299,129.39
BOX-300,173.40
BOX-301,208.29
BOX-302,0.0
BOX-328,128.14
BOX-329,0.0
BOX-330,108.15
BOX-331,167.44
BOX-332,144.3
BOX-333,51.13
BOX-340,138.56
BOX-62,207.27
