02-12-2019,11.45,13.46,2.0
03-12-2019,09.00,15.57,6.57
04-12-2019,13.12,16.10,2.57
05-12-2019,11.57,15.27,3.29
06-12-2019,13.40,15.24,1.43
07-12-2019,11.13,12.37,1.23
09-12-2019,09.00,16.43,7.43
10-12-2019,09.09,16.02,6.52
11-12-2019,12.42,16.32,3.49
12-12-2019,09.00,14.19,5.19
13-12-2019,11.05,13.16,2.10
14-12-2019,10.03,12.33,2.29
16-12-2019,09.48,12.14,2.25
17-12-2019,09.00,16.32,7.32
18-12-2019,09.00,16.13,7.13
19-12-2019,09.00,14.12,5.12
20-12-2019,09.00,12.36,3.36
21-12-2019,10.47,12.38,1.50
23-12-2019,10.51,16.43,5.51
24-12-2019,11.41,11.41,00.00
25-12-2019,00.00,00.00,00.00
26-12-2019,00.00,00.00,00.00
27-12-2019,09.00,16.37,7.37
28-12-2019,09.00,10.36,1.36
30-12-2019,09.00,18.00,9.0
