BOX-101,23.26
BOX-102,0.0
BOX-103,6.10
BOX-110,5.15
BOX-111,0.0
BOX-113,38.35
BOX-116,12.59
BOX-124,22.30
BOX-133,0.0
BOX-134,26.11
BOX-135,13.20
BOX-140,3.36
BOX-142,17.26
BOX-143,0.0
BOX-146,12.16
BOX-147,8.42
BOX-148,0.0
BOX-149,0.0
BOX-150,19.44
BOX-151,16.15
BOX-154,0.0
BOX-155,0.0
BOX-157,12.7
BOX-158,5.36
BOX-161,8.53
BOX-162,0.0
BOX-163,0.0
BOX-164,10.38
BOX-167,0.0
BOX-168,30.27
BOX-170,0.0
BOX-172,6.7
BOX-175,0.0
BOX-176,18.21
BOX-179,0.0
BOX-17,22.7
BOX-180,27.16
BOX-182,0.0
BOX-189,10.37
BOX-18,21.41
BOX-191,12.35
BOX-192,16.23
BOX-193,9.26
BOX-196,6.31
BOX-197,9.11
BOX-198,5.45
BOX-19,0.0
BOX-200,26.47
BOX-203,18.13
BOX-205,0.0
BOX-207,20.31
BOX-208,11.58
BOX-209,3.0
BOX-211,15.51
BOX-212,15.27
BOX-213,11.7
BOX-215,0.0
BOX-216,19.18
BOX-217,2.17
BOX-219,16.10
BOX-21,0.0
BOX-220,10.24
BOX-225,9.22
BOX-226,0.0
BOX-227,23.45
BOX-229,2.51
BOX-231,5.12
BOX-233,7.23
BOX-235,0.0
BOX-238,43.54
BOX-239,0.0
BOX-241,0.0
BOX-244,0.0
BOX-249,37.33
BOX-251,18.38
BOX-253,23.21
BOX-254,21.59
BOX-255,17.24
BOX-257,6.24
BOX-258,18.14
BOX-260,26.25
BOX-263,22.23
BOX-264,0.0
BOX-266,4.56
BOX-267,23.13
BOX-269,15.14
BOX-271,17.40
BOX-273,24.22
BOX-277,24.47
BOX-279,0.0
BOX-27,6.44
BOX-283,24.15
BOX-285,10.5
BOX-286,10.32
BOX-287,0.0
BOX-288,0.0
BOX-289,25.19
BOX-28,16.20
BOX-290,11.21
BOX-292,20.34
BOX-293,46.51
BOX-295,16.50
BOX-297,4.48
BOX-299,21.5
BOX-300,27.8
BOX-301,0.0
BOX-302,0.0
BOX-31,26.54
BOX-326,18.48
BOX-327,28.32
BOX-328,22.43
BOX-330,39.0
BOX-331,15.20
BOX-333,23.34
BOX-334,3.58
BOX-336,11.56
BOX-338,4.30
BOX-33,24.38
BOX-35,4.50
BOX-36,0.0
BOX-39,26.27
BOX-44,19.27
BOX-51,6.51
BOX-52,0.0
BOX-59,0.0
BOX-61,17.24
BOX-62,14.23
BOX-63,9.32
BOX-64,0.0
BOX-65,69.35
BOX-66,15.36
BOX-67,24.10
BOX-71,0.0
BOX-74,0.0
BOX-76,0.0
BOX-77,0.0
BOX-83,0.0
BOX-85,8.38
BOX-87,18.24
BOX-96,18.22
