01-07-2020,07.00,16.56,9.56
02-07-2020,07.51,15.52,8.0
03-07-2020,07.30,16.57,9.26
04-07-2020,07.00,13.12,6.12
06-07-2020,08.46,12.31,3.44
07-07-2020,10.10,17.00,6.49
08-07-2020,07.00,16.54,9.54
09-07-2020,07.09,12.12,5.2
10-07-2020,07.21,17.00,9.38
11-07-2020,07.00,10.47,3.47
13-07-2020,07.00,12.34,5.34
14-07-2020,08.02,16.55,8.52
15-07-2020,07.00,15.27,8.27
16-07-2020,07.17,15.19,8.1
17-07-2020,07.11,16.46,9.34
18-07-2020,07.00,13.18,6.18
20-07-2020,07.00,14.29,7.29
21-07-2020,07.18,17.07,9.48
22-07-2020,07.00,16.56,9.56
23-07-2020,08.56,15.16,6.19
24-07-2020,07.27,15.56,8.28
25-07-2020,07.00,13.27,6.27
27-07-2020,07.00,11.30,4.30
