BOX-104,56.31
BOX-114,106.38
BOX-115,137.42
BOX-118,211.4
BOX-11,238.34
BOX-122,0.28
BOX-123,166.41
BOX-126,97.6
BOX-128,100.18
BOX-12,253.48
BOX-130,104.43
BOX-132,125.7
BOX-13,203.47
BOX-14,222.54
BOX-15,0.0
BOX-16,0.0
BOX-183,0.0
BOX-184,19.32
BOX-22,211.29
BOX-24,278.21
BOX-25,204.36
BOX-26,259.13
BOX-30,118.5
BOX-38,156.40
BOX-3,185.10
BOX-42,0.0
BOX-4,86.44
BOX-50,114.10
BOX-57,279.48
BOX-58,181.24
BOX-60,247.46
BOX-69,325.44
BOX-6,239.21
BOX-7,202.19
BOX-8,245.5
BOX-94,266.5
BOX-95,134.58
BOX-9,164.47
